基金代码,基金名称,一级分类,二级分类,基金公司,基金规模(亿),风险等级,管理费(%),YTD(%),近1年(%),近3年(%),近5年(%),1年最大回撤(%),1年夏普比率,持有人数,总管理规模(亿),评级,3月评分,6月评分,1年评分,2年评分,3年评分,5年评分,7年评分,10年评分
014215,光大核心资产混合C,混合型,混合型-偏股,光大保德信基金,0.12,中高,1.20%（每年）,4.67,14.03,8.02,,-12.72,0.71,0,17.82亿(17只基金),orange,30.72,36.77,38.95,46.25,46.99,50.67,50.67,23.17
014221,恒越医疗健康精选混合C,混合型,混合型-偏股,恒越基金,0.3,中高,1.20%（每年）,-20.28,-16.76,-35.14,,-28.07,-1.11,0,4.93亿(6只基金),orange,32.91,28.0,46.98,49.96,49.97,49.17,49.17,24.76
014228,浦银安盛品质优选混合A,混合型,混合型-偏股,浦银安盛基金,5.41,中高,1.20%（每年）,-7.88,10.3,-20.48,,-10.92,0.59,10,25.28亿(10只基金),orange,30.64,36.08,41.04,46.54,40.93,39.62,39.62,19.98
014232,博时专精特新主题混合A,混合型,混合型-偏股,博时基金,3.92,中高,1.20%（每年）,23.63,67.43,94.21,,-13.37,2.49,1,14.19亿(12只基金),green,72.95,75.96,77.38,71.56,68.66,66.0,66.0,29.0
017469,嘉实上证科创板芯片ETF发起联接A,指数型,指数型-股票,嘉实基金,94.08,中高,0.50%（每年）,77.06,186.41,223.86,,-18.54,2.79,8,902.66亿(29只基金),orange,41.02,37.67,51.05,65.03,58.59,60.73,3.23,21.25
017470,嘉实上证科创板芯片ETF发起联接C,指数型,指数型-股票,嘉实基金,94.08,中高,0.50%（每年）,76.86,185.68,221.36,,-18.58,2.79,41,902.66亿(29只基金),orange,40.84,37.55,50.83,64.87,58.43,60.59,3.23,21.21
017471,国泰中证机床ETF发起联接A,指数型,指数型-股票,国泰基金,2.31,中高,0.50%（每年）,59.28,126.86,163.96,,-15.49,2.98,0,143.57亿(23只基金),green,89.91,87.82,76.55,70.47,67.63,68.24,2.96,23.54
017472,国泰中证机床ETF发起联接C,指数型,指数型-股票,国泰基金,2.31,中高,0.50%（每年）,59.14,126.4,162.33,,-15.5,2.97,1,143.57亿(23只基金),green,89.85,87.75,76.23,70.28,67.46,68.08,2.95,23.48
017479,广发医药精选股票A,股票型,股票型,广发基金,0.54,中高,1.20%（每年）,-9.98,-8.09,,,-33.71,-0.08,0,42.85亿(13只基金),blue,59.4,42.64,59.0,55.39,51.94,51.94,0.0,14.01
017481,博时中证全指电力ETF发起式联接A,指数型,指数型-股票,博时基金,2.83,中高,0.50%（每年）,3.19,6.5,8.68,,-16.5,0.28,1,89.68亿(29只基金),green,83.06,57.42,45.49,43.77,49.88,48.47,1.83,17.52
017482,博时中证全指电力ETF发起式联接C,指数型,指数型-股票,博时基金,2.83,中高,0.50%（每年）,3.03,6.17,7.68,,-16.53,0.27,1,89.68亿(29只基金),green,83.06,57.33,45.03,43.47,49.6,48.17,1.82,17.43
017488,嘉实信息产业股票发起式A,股票型,股票型,嘉实基金,23.63,中高,1.20%（每年）,86.05,221.83,240.86,,-18.59,2.93,4,115.92亿(16只基金),green,78.09,67.27,67.77,68.89,63.78,65.64,3.27,22.74
017489,嘉实信息产业股票发起式C,股票型,股票型,嘉实基金,23.63,中高,1.20%（每年）,85.52,219.8,234.55,,-18.63,2.92,5,115.92亿(16只基金),green,77.96,66.92,66.86,68.29,63.23,65.13,3.27,22.59
017505,明亚中证1000指数增强A,指数型,指数型-股票,明亚基金,1.22,中高,1.00%（每年）,7.35,29.48,33.62,,-11.83,1.48,0,4.87亿(8只基金),blue,52.51,51.58,56.77,58.04,54.58,54.58,0.0,17.9
017513,广发北证50成份指数C,指数型,指数型-股票,广发基金,6.66,高,0.50%（每年）,-12.3,-8.67,51.6,,-23.97,-0.26,2,1071.35亿(41只基金),orange,27.8,33.3,51.32,61.15,57.46,55.93,1.99,20.06
017518,招商北证50成份指数发起式C,指数型,指数型-股票,招商基金,3.63,高,0.80%（每年）,-12.08,-9.04,33.25,,-24.03,-0.28,2,7.75亿(5只基金),orange,27.73,32.81,50.7,58.95,56.22,55.24,2.14,19.8
017519,汇添富北证50成份指数A,指数型,指数型-股票,汇添富基金,5.71,高,0.50%（每年）,-12.38,-8.98,31,,-23.93,-0.27,2,121.24亿(28只基金),orange,27.62,33.29,51.02,61.16,57.7,55.37,1.74,19.94
009189,华宝成长策略混合A,混合型,混合型-偏股,华宝基金,1.38,中高,1.20%（每年）,33.39,141.86,143.26,150.85,-11.81,2.93,1,11.77亿(4只基金),orange,46.15,68.56,72.61,61.94,58.78,60.94,60.38,60.38
019416,南方港股医药行业混合发起(QDII)C,QDII,QDII-混合偏股,南方基金,0.19,,1.2%,,,,,-36.69,-0.23,,,orange,38.43,32.14,58.21,59.4,53.62,53.62,,
017521,富国北证50成份指数A,指数型,指数型-股票,富国基金,4.02,高,0.50%（每年）,-11.86,-8.7,24.65,,-24.06,-0.26,1,415.00亿(31只基金),orange,27.91,33.2,50.68,59.81,56.62,54.76,1.86,19.74
017522,富国北证50成份指数C,指数型,指数型-股票,富国基金,4.02,高,0.50%（每年）,-11.94,-8.89,23.88,,-24.17,-0.27,3,415.00亿(31只基金),orange,27.87,33.12,50.61,59.75,56.54,54.68,1.86,19.71
017523,南方北证50成份指数发起A,指数型,指数型-股票,南方基金,3.25,高,0.50%（每年）,-12.25,-9.29,24.92,,-24.23,-0.28,1,100.23亿(29只基金),orange,27.77,33.01,50.47,61.53,57.9,54.83,1.5,19.83
017524,南方北证50成份指数发起C,指数型,指数型-股票,南方基金,3.25,高,0.50%（每年）,-12.37,-9.57,23.77,,-24.4,-0.3,2,100.23亿(29只基金),orange,27.72,32.89,50.37,61.39,57.76,54.69,1.5,19.79
017525,华夏北证50成份指数A,指数型,指数型-股票,华夏基金,5.2,高,0.50%（每年）,-12.4,-9.38,26.63,,-24.26,-0.29,1,787.95亿(35只基金),orange,27.67,33.01,50.86,59.67,56.49,54.33,1.76,19.63
017526,华夏北证50成份指数C,指数型,指数型-股票,华夏基金,5.2,高,0.50%（每年）,-12.52,-9.66,25.46,,-24.43,-0.3,3,787.95亿(35只基金),orange,27.62,32.91,50.76,59.57,56.38,54.22,1.76,19.6
017528,嘉实北证50成份指数C,指数型,指数型-股票,嘉实基金,4.02,高,0.50%（每年）,-12.62,-9.94,23.42,,-24.72,-0.31,3,902.66亿(29只基金),orange,27.45,32.85,50.44,58.95,56.03,54.59,1.98,19.65
017547,天弘国证2000指数增强A,指数型,指数型-股票,天弘基金,2.27,中高,0.60%（每年）,20.1,62.3,79.21,,-12.29,2.26,1,100.89亿(20只基金),green,86.0,82.34,80.91,72.28,65.0,65.0,0.0,20.96
017548,天弘国证2000指数增强C,指数型,指数型-股票,天弘基金,2.27,中高,0.60%（每年）,19.94,61.8,77.58,,-12.3,2.24,1,100.89亿(20只基金),green,85.93,82.22,80.75,72.14,64.81,64.81,0.0,20.91
024274,东兴中证A500指数增强A,指数型,指数型-股票,东兴基金,0.92,中高,0.80%（每年）,9.17,,,,,,0,13.88亿(18只基金),blue,,,,,,,,
019441,万家纳斯达克100指数发起式(QDII)A,QDII,指数型-海外股票,万家基金,4.38,,0.5%,,,,,-13.49,1.13,,,orange,26.39,39.27,53.02,53.65,58.55,58.55,,
017559,华安上证科创板芯片ETF发起式联接A,指数型,指数型-股票,华安基金,11.72,中高,0.15%（每年）,77,187.3,228.04,,-18.18,2.84,2,108.47亿(24只基金),orange,42.07,38.59,51.55,65.34,58.9,61.05,3.24,21.34
017574,华夏中证机床ETF发起式联接C,指数型,指数型-股票,华夏基金,1.31,中高,0.50%（每年）,59.41,125.92,153.14,,-15.95,2.9,1,149.67亿(37只基金),green,89.64,87.02,75.53,69.62,66.21,66.21,0.0,21.11
017610,华夏恒生港股通中国内地企业高股息率ETF发起式联接A,指数型,指数型-股票,华夏基金,1.68,中高,0.50%（每年）,-6.09,-0.27,35.11,,-12.24,-0.07,1,149.67亿(37只基金),blue,66.23,72.0,66.67,69.42,67.01,67.01,0.0,21.2
017611,华夏恒生港股通中国内地企业高股息率ETF发起式联接C,指数型,指数型-股票,华夏基金,1.68,中高,0.50%（每年）,-6.22,-0.58,33.8,,-12.4,-0.09,0,149.67亿(37只基金),blue,65.02,71.31,66.26,69.14,66.66,66.66,0.0,21.1
017633,汇添富中证全指医疗器械ETF发起式联接C,指数型,指数型-股票,汇添富基金,1.7,中高,0.15%（每年）,-20.74,-16.1,-36.21,,-27.81,-0.98,1,251.74亿(27只基金),orange,36.77,29.5,33.56,39.77,41.3,41.32,2.09,15.54
017634,汇添富中证全指医疗器械ETF发起式联接D,指数型,指数型-股票,汇添富基金,1.7,中高,0.15%（每年）,-20.69,-15.98,-35.92,,-27.73,-0.97,0,251.74亿(27只基金),orange,36.79,29.5,33.6,39.82,41.38,41.43,2.1,15.56
017734,中金中证1000指数增强发起C,指数型,指数型-股票,中金基金,2.53,中高,0.80%（每年）,12.04,41.42,51.7,,-13.73,1.78,1,61.62亿(22只基金),blue,64.43,60.72,65.02,62.57,56.8,56.8,0.0,18.64
017744,嘉实绿色主题股票发起式A,股票型,股票型,嘉实基金,6.2,中高,1.20%（每年）,104.65,196.22,210.99,,-23.54,2.85,1,13.82亿(6只基金),green,88.31,58.65,61.15,72.68,60.76,60.76,0.0,19.79
017745,嘉实绿色主题股票发起式C,股票型,股票型,嘉实基金,6.2,中高,1.20%（每年）,104.07,194.38,205.3,,-23.61,2.83,4,13.82亿(6只基金),green,88.14,58.52,60.9,72.47,60.55,60.55,0.0,19.73
017747,建信电子行业股票C,股票型,股票型,建信基金,5.54,中高,1.20%（每年）,81.03,199.62,,,-19.88,2.78,2,20.63亿(9只基金),blue,47.93,45.92,52.69,64.64,61.56,61.56,0.0,17.88
017779,浦银安盛中证证券公司30ETF联接C,指数型,指数型-股票,浦银安盛基金,0.21,中高,0.50%（每年）,-6.91,4.69,15.2,,-23.69,0.21,0,4.73亿(8只基金),orange,24.42,32.02,48.29,48.96,50.41,50.41,0.0,16.53
017451,国富估值优势混合C,混合型,混合型-灵活,国海富兰克林基金,1.02,中高,1.20%（每年）,-8.03,-0.89,2.44,,-11.55,-0.25,0,115.21亿(18只基金),orange,45.44,55.28,42.71,49.24,46.36,45.04,1.78,16.86
017462,长城久祥混合C,混合型,混合型-灵活,长城基金,1.29,中高,1.20%（每年）,92.38,229.58,189.77,,-17.21,2.6,0,8.72亿(6只基金),green,86.11,88.12,77.96,66.16,64.59,66.21,3.21,22.97
017464,长江楚财一年持有期混合发起A,混合型,混合型-偏债,长江证券(上海)资管,3.9,中,1.00%（每年）,2.75,10.33,,,-2.25,1.95,4,9.99亿(6只基金),blue,61.5,53.31,50.85,44.01,44.99,44.99,0.0,12.28
019518,富国全球债券(QDII)人民币C,QDII,QDII-混合债,富国基金,4.96,,0.5%,,,,,-4.85,-0.97,,,orange,32.66,31.92,30.19,35.92,39.4,39.4,,
015459,天弘精选混合C,混合型,混合型-灵活,天弘基金,9.01,中高,1.20%（每年）,-0.43,16.36,20.45,,-9.54,0.89,1,20.47亿(8只基金),orange,46.86,52.9,59.13,54.79,49.69,52.58,52.58,24.16
009360,招商创新增长混合A,混合型,混合型-偏股,招商基金,3.9,中高,1.20%（每年）,-5.9,5.04,-3.29,-38.27,-25.52,0.32,4,30.62亿(7只基金),orange,41.22,33.12,54.41,54.46,51.91,50.36,51.09,51.09
009361,招商创新增长混合C,混合型,混合型-偏股,招商基金,3.9,中高,1.20%（每年）,-6.26,4.17,-5.66,-40.77,-25.91,0.29,1,30.62亿(7只基金),orange,40.77,32.89,54.1,54.17,51.56,49.97,50.67,50.67
009363,招商丰盈积极配置混合C,混合型,混合型-偏股,招商基金,8.24,中高,1.20%（每年）,0.7,23.07,4.82,-34.62,-13.87,1.09,3,63.42亿(12只基金),orange,30.49,30.23,50.27,49.4,44.27,43.21,43.87,43.87
009368,浦银安盛价值精选混合A,混合型,混合型-偏股,浦银安盛基金,1.47,中高,1.20%（每年）,-9.05,11.69,-6.08,-26.32,-20.12,0.6,1,3.02亿(4只基金),blue,51.14,53.26,50.14,46.53,44.92,48.75,49.82,49.82
017476,广发集轩债券C,债券型,债券型-混合二级,广发基金,106.1,中,0.70%（每年）,-5.32,-0.88,,,-6.6,-0.75,22,162.89亿(11只基金),orange,28.78,37.31,35.3,42.56,43.07,43.07,0.0,11.7
017480,广发医药精选股票C,股票型,股票型,广发基金,0.54,中高,1.20%（每年）,-10.21,-8.55,,,-33.96,-0.1,0,42.85亿(13只基金),blue,58.92,42.4,58.78,55.19,51.68,51.68,0.0,13.96
009369,浦银安盛价值精选混合C,混合型,混合型-偏股,浦银安盛基金,1.47,中高,1.20%（每年）,-9.22,11.23,-7.23,-27.82,-20.21,0.58,0,3.02亿(4只基金),blue,50.88,52.7,49.61,46.03,44.54,48.38,49.46,49.46
009382,汇安核心资产混合C,混合型,混合型-偏股,汇安基金,2.25,中高,1.20%（每年）,-7.19,14.86,-7.24,-37.75,-13.79,0.91,0,5.65亿(13只基金),green,72.05,75.31,58.93,50.4,47.88,50.47,50.87,50.87
017493,东方红新动力混合C,混合型,混合型-灵活,东方红资产管理,63.34,中高,1.20%（每年）,4.39,28.4,50.14,,-9.68,1.66,3,182.36亿(16只基金),blue,58.88,51.5,58.77,61.04,57.47,59.24,3.08,20.77
017508,东兴连众一年持有期混合C,混合型,混合型-偏债,东兴基金,0.84,中,0.70%（每年）,-0.72,6.37,,,-4.41,0.77,0,13.88亿(18只基金),orange,46.42,42.58,47.59,44.41,45.46,45.46,0.0,12.37
